Month,Resident population
4/1/00,281424600
5/1/00,281643089
6/1/00,281887481
7/1/00,282162411
8/1/00,282422213
9/1/00,282693284
10/1/00,282957962
11/1/00,283197152
12/1/00,283437649
1/1/01,283647024
2/1/01,283841797
3/1/01,284047071
4/1/01,284269299
5/1/01,284487152
6/1/01,284728443
7/1/01,284968955
8/1/01,285224368
9/1/01,285493771
10/1/01,285689399
11/1/01,285921072
12/1/01,286138973
1/1/02,286340637
2/1/02,286542998
3/1/02,286723459
4/1/02,286929463
5/1/02,287151632
6/1/02,287393588
7/1/02,287625193
8/1/02,287870555
9/1/02,288129987
10/1/02,288379244
11/1/02,288610754
12/1/02,288804655
1/1/03,288998781
2/1/03,289132739
3/1/03,289258694
4/1/03,289400188
5/1/03,289554820
6/1/03,289819527
7/1/03,290107933
8/1/03,290391551
9/1/03,290656476
10/1/03,290916101
11/1/03,291160038
12/1/03,291364214
1/1/04,291553190
2/1/04,291716878
3/1/04,291888226
4/1/04,292108553
5/1/04,292350184
6/1/04,292571704
7/1/04,292805298
8/1/04,293057495
9/1/04,293309033
10/1/04,293573356
11/1/04,293801454
12/1/04,294015263
1/1/05,294230649
2/1/05,294380349
3/1/05,294558690
4/1/05,294784353
5/1/05,295030999
6/1/05,295262724
7/1/05,295516599
8/1/05,295771752
9/1/05,296040189
10/1/05,296306871
11/1/05,296514546
12/1/05,296762293
1/1/06,296987570
2/1/06,297219147
3/1/06,297423035
4/1/06,297649663
5/1/06,297869406
6/1/06,298118142
7/1/06,298379912
8/1/06,298630579
9/1/06,298908360
10/1/06,299159981
11/1/06,299395746
12/1/06,299658194
1/1/07,299890446
2/1/07,300095558
3/1/07,300288381
4/1/07,300511531
5/1/07,300728176
6/1/07,300968228
7/1/07,301231207
8/1/07,301500377
9/1/07,301772224
10/1/07,302026271
11/1/07,302287110
12/1/07,302533358
1/1/08,302754346
2/1/08,302966260
3/1/08,303185074
4/1/08,303381938
5/1/08,303616954
6/1/08,303847001
7/1/08,304093966
8/1/08,304357665
9/1/08,304614210
10/1/08,304858602
11/1/08,305093832
12/1/08,305298802
1/1/09,305519874
2/1/09,305714782
3/1/09,305920351
4/1/09,306112520
5/1/09,306321829
6/1/09,306541114
7/1/09,306771529
8/1/09,307007040
9/1/09,307267930
10/1/09,307518237
11/1/09,307757459
12/1/09,307954399
1/1/10,308169976
2/1/10,308375613
3/1/10,308565817
4/1/10,308758105
5/1/10,308943167
6/1/10,309122946
7/1/10,309321666
8/1/10,309535947
9/1/10,309763500
10/1/10,309989569
11/1/10,310174426
12/1/10,310348632
1/1/11,310538923
2/1/11,310693489
3/1/11,310832137
4/1/11,311009155
5/1/11,311183465
6/1/11,311351195
7/1/11,311556874
8/1/11,311764497
9/1/11,311997529
10/1/11,312207836
11/1/11,312397256
12/1/11,312588416
1/1/12,312786761
2/1/12,312932963
3/1/12,313112458
4/1/12,313283352
5/1/12,313446781
6/1/12,313634392
7/1/12,313830990
8/1/12,314048849
9/1/12,314282839
10/1/12,314498196
11/1/12,314695119
12/1/12,314872482
1/1/13,315035869
2/1/13,315160296
3/1/13,315301845
4/1/13,315464179
5/1/13,315607825
6/1/13,315806910
7/1/13,315993715
8/1/13,316202222
9/1/13,316433402
10/1/13,316656651
11/1/13,316876274
12/1/13,317055638
1/1/14,317243472
2/1/14,317408987
3/1/14,317564034
4/1/14,317730420
5/1/14,317914973
6/1/14,318105760
7/1/14,318301008
8/1/14,318539492
9/1/14,318774334
10/1/14,319005484
11/1/14,319221927
12/1/14,319412095
1/1/15,319594955
2/1/15,319734181
3/1/15,319890583
4/1/15,320063719
5/1/15,320244536
6/1/15,320430500
7/1/15,320635163
8/1/15,320857156
9/1/15,321080050
10/1/15,321311006
11/1/15,321502565
12/1/15,321710374
1/1/16,321864095
2/1/16,322035525
3/1/16,322196377
4/1/16,322368465
5/1/16,322548296
6/1/16,322734136
7/1/16,322941311
8/1/16,323143492
9/1/16,323346446
10/1/16,323561216
11/1/16,323743389
12/1/16,323907436
1/1/17,324076093
2/1/17,324208204
3/1/17,324342783
4/1/17,324480012
5/1/17,324636728
6/1/17,324801865
7/1/17,324985539
8/1/17,325158822
9/1/17,325339848
10/1/17,325507794
11/1/17,325663325
12/1/17,325802062
1/1/18,325927236
2/1/18,326031740
3/1/18,326140981
4/1/18,326260373
5/1/18,326392347
6/1/18,326533251
7/1/18,326687501
8/1/18,326850358
9/1/18,327011652
10/1/18,327170529
11/1/18,327310325
12/1/18,327431120
1/1/19,327540066
2/1/19,327635482
3/1/19,327733545
4/1/19,327842998
5/1/19,327964770
6/1/19,328095474
7/1/19,328239523
8/1/19,328409545
9/1/19,328578004
10/1/19,328744045
11/1/19,328891009
12/1/19,329018969
1/1/20,329135084
2/1/20,329237661
3/1/20,329342883
4/1/20,329459499
5/1/20,329588430
6/1/20,329726295
7/1/20,329877505
8/1/20,330047526
9/1/20,330215986
10/1/20,330382026
11/1/20,330528990
12/1/20,330656950